Country,Number
Afghanistan,112
Albania,127
Algeria,14
American Samoa,911
Andorra,116
Angola,112
Anguilla,911
Antigua and Barbuda,911 or 999
Argentina,911
Armenia,112 or 911
Aruba,911
Australia,0
Austria,144
Azerbaijan,103
Bahamas,911 or 919
Bahrain,999
Bangladesh,999
Barbados,911
Belarus,103
Belgium,112
Belize,911
Benin,112
Bermuda,911
Bhutan,112
Bolivia,911
Bosnia and Herzegovina,124
Botswana,997
Brazil,192
British Virgin Islands,911 or 919
Brunei,991
Bulgaria,112 or 150
Burkina Faso,112
Burundi,112
Cambodia,119
Cameroon,119
Canada,911
Cape Verde,130
Cayman Islands,911
Central African Republic,1220
Chad,2251-4242
Chile,131
China,120
Colombia,123
Comoros,772-03-73
Cook Islands,998
Costa Rica,911
Croatia,194
Cuba,104
Curacao,912
Cyprus,112 or 199
Czech Republic,155
Denmark,112
Djibouti,19
Dominica,999
Dominican Republic,911
DR Congo,118
Ecuador,911
Egypt,123
El Salvador,132
Equatorial Guinea,115
Eritrea,114
Estonia,112
Eswatini,977
Ethiopia,911
Falkland Islands,112 or 999
Faroe Islands,112
Fiji,911
Finland,112
France,15
French Guiana,112
French Polynesia,112
Gabon,1300
Gambia,116
Georgia,112
Germany,112
Ghana,193
Gibraltar,190 or 112 or 999
Greece,166
Greenland,112
Grenada,911
Guadeloupe,112
Guam,911
Guatemala,128
Guernsey,112 or 999
Guinea,18
Guinea-Bissau,119
Guyana,999
Haiti,116
Honduras,195
Hong Kong,999
Hungary,104
Iceland,112
India,112
Indonesia,112
Iran,115
Iraq,122
Ireland,999 or 112
Isle of Man,112 or 999
Israel,101
Italy,112
Ivory Coast,185
Jamaica,110
Japan,119
Jersey,112 or 999
Jordan,911
Kazakhstan,112
Kenya,112 or 999 or 911
Kiribati,999
Kuwait,112
Kyrgyzstan,103
Laos,195
Latvia,112
Lebanon,140
Lesotho,121
Liberia,911
Libya,193
Liechtenstein,144
Lithuania,112
Luxembourg,Police - 113.
Macau,999
Madagascar,124
Malawi,998
Malaysia,994
Maldives,102
Mali,15
Malta,112
Marshall Islands,911
Martinique,112
Mauritania,101
Mauritius,114
Mayotte,112
Mexico,911
Micronesia,911
Moldova,112
Monaco,15
Mongolia,105
Montenegro,124
Montserrat,911 or 919
Morocco,15
Mozambique,117
Myanmar,999
Namibia,depends on town/city
Nauru,111
Nepal,102
Netherlands,112
New Caledonia,112
New Zealand,111
Nicaragua,128
Niger,15
Nigeria,112
North Korea,119
Norway,113
Oman,9999
Pakistan,115 and 1122
Palau,911
Panama,911
Papua New Guinea,111
Paraguay,911
Peru,911
Philippines,911
Poland,999
Portugal,112
Puerto Rico,911
Qatar,999
Republic of the Congo,118
Reunion,15
Romania,112
Russia,103
Rwanda,912
Saint Kitts and Nevis,911
Saint Lucia,911 or 919
Saint Pierre and Miquelon,112
Saint Vincent and the Grenadines,911 or 919
Samoa,999
San Marino,118
Sao Tome and Principe,112
Saudi Arabia,911
Senegal,18
Serbia,194
Seychelles,151
Sierra Leone,999
Singapore,995
Slovakia,155
Slovenia,112
Solomon Islands,911 or 999
Somalia,999
South Africa,10 177
South Korea,119
South Sudan,999
Spain,112
Sri Lanka,110
Sudan,Traffic police - 777 777.
Suriname,115
Sweden,112
Switzerland,144
Syria,110
Taiwan,119
Tajikistan,112
Tanzania,114
Thailand,1669
Timor-Leste,112
Togo,8200
Tonga,911
Trinidad and Tobago,811
Tunisia,198
Turkey,112
Turkmenistan,112
Tuvalu,911
Uganda,911
United Arab Emirates,999
United Kingdom,999 or 112
United States,911
United States Virgin Islands,911
Uruguay,911
Uzbekistan,101
Vanuatu,911
Vatican City,112
Venezuela,911 and 171
Vietnam,115
Western Sahara,150
Yemen,191
Zambia,992
Zimbabwe,994
